text,label
"Great experience — will buy again!",1
"The agent was kind, patient, and helpful.",1
"good quality",1
"Really bad quality.",0
"low quality",0
"I love this product, it's amazing!",1
"Everything exceeded my expectations.",1
"poor quality",0
"I am satisfied with the material",1
"Bad experience, I am unhappy.",0
"I love the material",1
"bad quality",0
"Good service and fast reply.",1
"Rude staff and long wait times.",0
"Great quality and service",1
"it was bad",0
"Customer service was very helpful and friendly.",1
"Customer service was not helpful ",0
"Customer service was not friendly.",0
"Not worth the money at all.",0
"i liked the nice quality",1
"Love it",1
"Everything went smoothly and quickly.",1
"Brilliant service from start to finish.",1
"okay experience overall",1
"The fit was perfect",1
"bad quality product",0
"Pretty good overall.",1
"I waited 30 minutes, and still no response.",0
"i hated it",0
"acceptable quality for the price",1
"This brand has never let me down.",1
"The order was wrong and incomplete.",0
"This is the worst experience ever.",0
"great experience overall",1
"i liked the quality",1
"The live chat support is a joke.",0
"Really disappointed with the quality",0
"I’m very satisfied with the service.",1
"didn't like it",0
"I hate how slow the website is.",0
"I don't recommend it.",0
"it was great",1
"it did not fit well",0
"Rude staff and long wait times.",0
"bad fit and poor quality",0
"Terrible customer support.",0
"Very quick delivery and great quality!",1
"Liked the quality",1
"very satisfying result",1
"they never responded to my emails.",0
"Terrible quality",0
"Great quality and perfect fit",1
"not worth it",0
"The item arrived late and broken.",0
"the quality was not good",0
"Happy with both the price and performance.",1
"Okay experience, not great not terrible.",0
"Absolutely fantastic! Highly recommend it.",1
"I'm extremely disappointed with the results.",0
"It is really good value.",1
"The packaging was beautiful and neat.",1
"did not like the material",0
"Great quality and service",1
